Timestamp,RAM_Used_MB,Total_RAM_MB,LFB_Size_MB,Block_Max_MB,SWAP_In_Use_MB,Total_SWAP_MB,Cached_MB,used_IRAM_kB,total_IRAM_kB,lfb_kB,CPU1_Util,CPU1_Freq_MHZ,CPU2_Util,CPU2_Freq_MHZ,CPU3_Util,CPU3_Freq_MHZ,CPU4_Util,CPU4_Freq_MHZ,EMC_Frequency_Percent,GR3D_Frequency_Percent,PLL_Temperature_C,CPU_Temperature_C,PMIC_Temperature_C,GPU_Temperature_C,AO_Temperature_C,Thermal_Temperature_C
2025-11-16 21:09:46,1196,1952,4,2,5138,13264,122,0,252,252,100,1479,79,1479,84,1479,90,1479,3,0,45,47.5,50,47,52,46.25
2025-11-16 21:09:47,1196,1952,4,2,5138,13264,122,0,252,252,22,1479,30,1479,31,1479,59,1479,3,0,44,46.5,50,46,52,47
2025-11-16 21:09:47,1204,1952,4,2,5138,13264,122,0,252,252,55,1479,91,1479,44,1479,49,1479,4,0,44.5,46.5,50,46.5,51.5,47
2025-11-16 21:09:48,1217,1952,1,2,5138,13264,123,0,252,252,38,1479,54,1479,44,1479,55,1479,4,0,45,47.5,50,47,52,46.5
2025-11-16 21:09:48,1224,1952,1,2,5138,13264,123,0,252,252,81,518,70,518,78,518,74,518,5,0,44.5,46,50,46.5,52,46.5
2025-11-16 21:09:49,1227,1952,1,2,5138,13264,124,0,252,252,37,1479,33,1479,36,1479,39,1479,5,0,44.5,46,50,46.5,52,46.25
2025-11-16 21:09:49,1233,1952,1,2,5138,13264,124,0,252,252,25,518,32,518,18,518,33,518,4,0,44.5,46,50,46.5,51.5,46.25
2025-11-16 21:09:50,1237,1952,1,2,5137,13264,124,0,252,252,46,1479,26,1479,34,1479,44,1132,4,0,44.5,46,50,46.5,52,46.25
2025-11-16 21:09:50,1244,1952,1,2,5137,13264,125,0,252,252,28,614,28,614,16,614,22,614,4,0,44.5,46,50,46.5,51.5,46
2025-11-16 21:09:51,1190,1952,1,2,5069,13264,112,0,252,252,41,1479,28,1479,26,1479,24,1479,4,0,44,46,50,46,51.5,46
2025-11-16 21:09:51,996,1952,1,2,4894,13264,79,0,252,252,33,614,12,614,36,614,10,614,4,0,44,46,50,46,51.5,46.25
2025-11-16 21:09:52,995,1952,1,2,4875,13264,79,0,252,252,60,710,37,1479,56,1479,48,1479,4,0,44.5,46,50,46.5,51.5,46.25
2025-11-16 21:09:52,988,1952,4,2,4870,13264,78,0,252,252,34,1479,31,1479,31,1479,31,1479,4,0,44,46.5,50,46,51.5,46.25
2025-11-16 21:09:53,988,1952,4,2,4869,13264,78,0,252,252,20,403,24,403,15,403,10,403,3,0,44,45.5,50,46,51.5,46.25
2025-11-16 21:09:53,988,1952,4,2,4869,13264,78,0,252,252,36,921,25,921,29,921,24,921,3,0,44.5,46,50,46.5,52,46.5
2025-11-16 21:09:54,988,1952,4,2,4869,13264,78,0,252,252,30,403,16,403,17,403,12,403,3,0,44,45.5,50,46,51.5,46.5
2025-11-16 21:09:54,991,1952,4,2,4869,13264,78,0,252,252,46,1479,46,1479,43,1479,49,1479,4,0,45.5,48.5,50,47.5,52,46.5
2025-11-16 21:09:55,994,1952,4,2,4869,13264,78,0,252,252,80,1224,75,1224,74,1224,77,1224,4,0,44.5,46,50,46.5,52,47.25
2025-11-16 21:09:55,1001,1952,4,2,4869,13264,78,0,252,252,19,1224,14,1224,18,1224,22,1224,4,0,44.5,46.5,50,46.5,52,47.25
2025-11-16 21:09:56,1011,1952,4,2,4865,13264,81,0,252,252,49,1224,27,1224,25,1224,27,1224,4,0,44.5,46,50,46.5,52,46.5
2025-11-16 21:09:56,1029,1952,4,2,4863,13264,81,0,252,252,39,1479,41,1479,38,1479,39,1479,4,0,45,47,50,47,52,46.5
2025-11-16 21:09:57,1053,1952,4,2,4863,13264,81,0,252,252,75,1479,86,1479,76,1479,72,1479,4,0,45.5,48.5,50,47.5,52.5,47.5
2025-11-16 21:09:57,1066,1952,4,2,4863,13264,81,0,252,252,84,1479,68,1479,80,1479,84,1479,5,0,45,47.5,50,47,52.5,47.5
2025-11-16 21:09:58,1080,1952,3,2,4862,13264,81,0,252,252,45,1479,40,1479,45,1479,43,1479,5,0,45.5,47.5,50,47.5,52.5,47.5
2025-11-16 21:09:58,1103,1952,3,2,4862,13264,81,0,252,252,100,1479,94,1479,96,1479,98,1479,6,0,46,48,50,48,52.5,47.5
2025-11-16 21:09:59,1111,1952,3,2,4862,13264,81,0,252,252,98,1479,98,1479,96,1479,96,1479,6,0,45.5,48,50,47.5,52.5,47.5
2025-11-16 21:09:59,1116,1952,3,2,4862,13264,81,0,252,252,96,1479,96,1479,98,1479,98,1479,6,0,46,49,50,48,52.5,47.75
2025-11-16 21:10:00,1125,1952,3,2,4862,13264,82,0,252,252,95,1479,96,1479,95,1479,89,1479,6,0,46,48,50,48,52.5,47.75
