Timestamp,FrameId,FrameNumber,FPS,FrameWidth,FrameHeight,FrameSize,InferenceTimeMs,ConfidenceScore,AlgorithmFPS,AvgProcTimeMs,TotalProcTimeMs,GPUFreeMemoryMB,GPUTotalMemoryMB,CudaKernelTimeMs,DisplayLatencyMsRaw,DroppedFrames,RenderTimeMs,ProcessingLatencyMs,DisplayLatencyMs,EndToEndLatencyMs,JoulesPerFrame,RAM_In_Use_MB,Total_RAM_MB,LFB_Size_MB,Block_Max_MB,SWAP_In_Use_MB,Total_SWAP_MB,Cached_MB,used_IRAM_kB,total_IRAM_kB,lfb_kB,CPU1_Utilization_Percent,CPU1_Frequency_MHz,CPU2_Utilization_Percent,CPU2_Frequency_MHz,CPU3_Utilization_Percent,CPU3_Frequency_MHz,CPU4_Utilization_Percent,CPU4_Frequency_MHz,EMC_Frequency_Percent,GR3D_Frequency_Percent,PLL_Temperature_C,CPU_Temperature_C,PMIC_Temperature_C,GPU_Temperature_C,AO_Temperature_C,Thermal_Temperature_C,PowerTotalW,PowerAverageW,PowerSensor0W,PowerSensor0V,PowerSensor0A,PowerSensor1W,PowerSensor1V,PowerSensor1A,PowerSensor2W,PowerSensor2V,PowerSensor2A,PowerSensor3W,PowerSensor3V,PowerSensor3A
2025-11-16 21:19:06.881,1,1,0.614251,320,240,153600,1.25761,1,0.613188,1.25949,2.5171,0,0,0,135.581,0,15.9338,1.25761,15.9338,135.582,0.00503025,1345,1952,15,4,8,13264,0,0,252,252,67,1479,62,1479,86,1479,64,1479,3,0,47.5,50,50,49.5,55,50,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:07.426,8,8,12.6582,320,240,153600,1.28256,1,0.613188,1.25949,11.456,0,0,0,1613.75,0,5.44074,1.28256,5.44074,1613.75,0.00513005,1346,1952,0,0,0,0,0,0,0,0,48,0,43.5,0,44,0,49.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:09.522,15,15,12.6582,320,240,153600,1.47013,1,3.99555,1.26482,21.2354,0,0,0,1538.67,0,5.03869,1.47013,5.03869,1538.67,0.00587946,1346,1952,0,0,0,0,0,0,0,0,40,0,38.5,0,35,0,42.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:11.538,22,22,13.1579,320,240,153600,2.03984,1,3.47016,1.40492,32.242,0,0,0,1543.96,0,5.05708,2.03984,5.05708,1543.96,0.00815958,1346,1952,0,0,0,0,0,0,0,0,43.5,0,38,0,39,0,34,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:13.558,29,29,12.6582,320,240,153600,1.29887,1,3.47246,1.58004,42.5367,0,0,0,1544.61,0,5.03515,1.29887,5.03515,1544.61,0.00519464,1346,1952,0,0,0,0,0,0,0,0,41,0,35.5,0,42.5,0,36.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:15.574,36,36,13.1579,320,240,153600,1.25808,1,3.46885,1.46528,51.4107,0,0,0,1549.79,0,5.01161,1.25808,5.01161,1549.79,0.00503234,1346,1952,0,0,0,0,0,0,0,0,40.5,0,38.5,0,43.5,0,37,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:17.594,43,43,12.6582,320,240,153600,1.46744,1,3.46714,1.26782,60.5825,0,0,0,1551.85,0,5.39944,1.46744,5.39944,1551.85,0.00587101,1346,1952,0,0,0,0,0,0,0,0,44,0,38.5,0,32.5,0,39,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:19.610,50,50,13.1579,320,240,153600,1.78323,1,3.46716,1.32084,70.5291,0,0,0,1556.2,0,4.96411,1.78323,4.96411,1556.2,0.00713251,1346,1952,0,0,0,0,0,0,0,0,41,0,40.5,0,41,0,34,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:21.630,57,57,12.6582,320,240,153600,1.25655,1,3.46484,1.41353,79.5013,0,0,0,1558.14,0,4.95349,1.25655,4.95349,1558.14,0.0050262,1346,1952,0,0,0,0,0,0,0,0,43,0,46,0,36,0,35,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:23.726,64,64,12.6582,320,240,153600,1.25582,1,3.34126,1.27226,88.2723,0,0,0,1483.63,0,5.11866,1.25582,5.11866,1483.63,0.00502308,1346.5,1952,0,0,0,0,0,0,0,0,52,0,45.5,0,42,0,44,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:25.742,71,71,13.1579,320,240,153600,1.26119,1,3.47186,1.26192,97.3102,0,0,0,1489.1,0,5.13105,1.26119,5.13105,1489.1,0.00504329,1350,1952,0,0,0,0,0,0,0,0,42.5,0,38.5,0,37.5,0,37,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:27.762,78,78,12.6582,320,240,153600,1.35114,1,3.46778,1.28841,107.419,0,0,0,1490.21,0,5.10601,1.35114,5.10601,1490.21,0.00540435,1350,1952,0,0,0,0,0,0,0,0,46,0,35.5,0,36,0,36,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:29.778,85,85,13.1579,320,240,153600,1.25561,1,3.46687,1.43439,116.097,0,0,0,1495.87,0,5.14419,1.25561,5.14419,1495.87,0.00502163,1350,1952,0,0,0,0,0,0,0,0,42,0,39,0,34,0,39,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:31.798,92,92,12.6582,320,240,153600,1.25551,1,3.46853,1.25323,124.972,0,0,0,1497.25,0,5.11429,1.25551,5.11429,1497.25,0.00502121,1350,1952,0,0,0,0,0,0,0,0,40,0,35.5,0,38.5,0,40.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:33.815,99,99,13.1579,320,240,153600,1.26666,1,3.47247,1.26427,135.094,0,0,0,1503.74,0,5.58806,1.26666,5.58806,1503.75,0.00506643,1350,1952,0,0,0,0,0,0,0,0,39,0,36.5,0,32.5,0,40,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:35.831,106,106,13.1579,320,240,153600,1.26713,1,3.46467,1.47458,144.701,0,0,0,1508.73,0,4.97622,1.26713,4.97622,1508.73,0.00506789,1350,1952,0,0,0,0,0,0,0,0,40,0,36,0,34,0,35,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:37.851,113,113,13.1579,320,240,153600,1.25713,1,3.47306,1.33559,153.781,0,0,0,1510.2,0,4.93581,1.25713,4.93581,1510.2,0.00502831,1350,1952,0,0,0,0,0,0,0,0,41.5,0,41.5,0,35.5,0,40.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:39.867,120,120,13.1579,320,240,153600,1.25145,1,3.46897,1.30537,163.548,0,0,0,1516.47,0,5.18748,1.25145,5.18748,1516.47,0.0050056,1350,1952,0,0,0,0,0,0,0,0,40,0,38.5,0,30,0,33,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:41.887,127,127,13.1579,320,240,153600,1.25395,1,3.46648,1.39369,172.431,0,0,0,1517.8,0,4.94878,1.25395,4.94878,1517.8,0.00501519,1350,1952,0,0,0,0,0,0,0,0,37,0,33,0,34,0,32.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:43.903,134,134,13.1579,320,240,153600,1.25989,1,3.46632,1.4163,182.377,0,0,0,1522.7,0,5.19624,1.25989,5.19624,1522.7,0.00503852,1350,1952,0,0,0,0,0,0,0,0,36.5,0,32.5,0,35.5,0,35,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:45.923,141,141,13.1579,320,240,153600,1.68189,1,3.46899,1.32849,191.957,0,0,0,1524.42,0,5.21744,1.68189,5.21744,1524.42,0.0067263,1350,1952,0,0,0,0,0,0,0,0,39.5,0,33,0,39,0,33,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:47.939,148,148,13.1579,320,240,153600,1.33698,1,3.47363,1.3045,200.796,0,0,0,1529.93,0,4.90035,1.33698,4.90035,1529.93,0.00534812,1350,1952,0,0,0,0,0,0,0,0,39.5,0,36,0,33.5,0,35.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:49.959,155,155,13.3333,320,240,153600,1.26453,1,3.46586,1.27066,209.838,0,0,0,1531.47,0,5.14926,1.26453,5.14926,1531.47,0.00505728,1350,1952,0,0,0,0,0,0,0,0,42,0,35.5,0,37.5,0,38,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:51.975,162,162,13.1579,320,240,153600,1.26255,1,3.46597,1.29357,218.841,0,0,0,1536.88,0,4.94697,1.26255,4.94697,1536.88,0.00504916,1350,1952,0,0,0,0,0,0,0,0,41,0,39,0,35,0,40.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:53.995,169,169,13.1579,320,240,153600,1.18541,1,3.47662,1.27743,228.229,0,0,0,1537.72,0,4.86447,1.18541,4.86447,1537.73,0.00474123,1350,1952,0,0,0,0,0,0,0,0,40.5,0,31.5,0,39.5,0,45.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:56.011,176,176,13.1579,320,240,153600,1.25661,1,3.46342,1.34642,237.068,0,0,0,1542.5,0,4.94004,1.25661,4.94004,1542.5,0.00502624,1349,1952,0,0,0,0,0,0,0,0,48.5,0,43,0,42,0,40.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:19:58.031,183,183,13.1579,320,240,153600,1.2551,1,3.47365,1.26692,245.89,0,0,0,1544.21,0,4.90942,1.2551,4.90942,1544.21,0.00502125,1349,1952,0,0,0,0,0,0,0,0,43,0,35,0,41,0,39.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:00.048,190,190,13.1579,320,240,153600,1.25568,1,3.45866,1.25267,254.823,0,0,0,1550.11,0,4.95885,1.25568,4.95885,1550.11,0.00502229,1349,1952,0,0,0,0,0,0,0,0,39.5,0,46.5,0,38.5,0,39.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:02.068,197,197,13.3333,320,240,153600,1.25583,1,3.47298,1.28689,263.669,0,0,0,1551.45,0,5.16563,1.25583,5.16563,1551.45,0.00502146,1349,1952,0,0,0,0,0,0,0,0,46,0,39,0,36,0,40.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:04.084,204,204,13.1579,320,240,153600,1.26646,1,3.47163,1.26073,272.619,0,0,0,1557.21,0,5.05157,1.26646,5.05157,1557.21,0.00506479,1349.5,1952,0,0,0,0,0,0,0,0,44,0,42,0,39.5,0,35.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:06.180,211,211,13.1579,320,240,153600,1.25682,1,3.33238,1.28238,281.558,0,0,0,1483.46,0,5.16756,1.25682,5.16756,1483.46,0.00502688,1350,1952,0,0,0,0,0,0,0,0,43,0,37.5,0,46,0,39,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:08.200,218,218,12.6582,320,240,153600,1.25714,1,3.47529,1.32669,290.868,0,0,0,1484.7,0,4.9388,1.25714,4.9388,1484.7,0.00502771,1348.5,1952,0,0,0,0,0,0,0,0,60,0,47,0,51,0,42,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:10.217,225,225,13.1579,320,240,153600,1.29302,1,3.46881,1.2879,299.885,0,0,0,1489.69,0,5.427,1.29302,5.427,1489.69,0.00517022,1348,1952,0,0,0,0,0,0,0,0,47,0,47,0,41.5,0,44,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:12.236,232,232,12.6582,320,240,153600,1.26865,1,3.46824,1.3244,309.019,0,0,0,1492.29,0,5.28835,1.26865,5.28835,1492.29,0.00507355,1348.5,1952,0,0,0,0,0,0,0,0,49.5,0,37.5,0,41,0,43.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:14.252,239,239,13.1579,320,240,153600,1.30907,1,3.46369,1.25731,317.886,0,0,0,1497.82,0,4.95829,1.30907,4.95829,1497.82,0.00523585,1348,1952,0,0,0,0,0,0,0,0,40,0,38,0,37.5,0,41,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:16.272,246,246,12.5,320,240,153600,1.62366,1,3.47355,1.25566,328.318,0,0,0,1499.19,0,5.54295,1.62366,5.54295,1499.19,0.00649403,1348,1952,0,0,0,0,0,0,0,0,38.5,0,41,0,39.5,0,39.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:18.288,253,253,13.1579,320,240,153600,1.25432,1,3.46231,1.50125,337.348,0,0,0,1505.31,0,5.04772,1.25432,5.04772,1505.31,0.00501647,1348.5,1952,0,0,0,0,0,0,0,0,36.5,0,39,0,40,0,39.5,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:20.308,260,260,12.6582,320,240,153600,1.25537,1,3.47274,1.28981,346.318,0,0,0,1507.05,0,5.12554,1.25537,5.12554,1507.05,0.00502085,1348,1952,0,0,0,0,0,0,0,0,44,0,38,0,39,0,40,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
2025-11-16 21:20:22.324,267,267,13.1579,320,240,153600,1.25636,1,3.47138,1.28166,355.18,0,0,0,1512.23,0,4.90642,1.25636,4.90642,1512.23,0.00502418,1348,1952,0,0,0,0,0,0,0,0,42,0,40,0,37,0,38,0,0,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0
